team,pace_t1,proe_t1,pace_t2,proe_t2,vegas_win_total,hc_change_flag,team_plays_pred,pass_rate_pred,team_pass_attempts_pred,team_rush_attempts_pred
ARI,68.11764705882354,4.167548467319274,65.52941176470588,-1.822447318363377,4.0,1,1037.5431544020269,0.5929013880702252,615.1607764277217,422.38237797430514
ATL,65.94117647058823,-5.572609426150488,68.17647058823529,-7.495415633011905,7.25,1,1038.2357065302003,0.5657561138543376,587.3881985913386,450.8475079388617
BAL,60.588235294117645,-8.180504255974148,66.05882352941177,-7.003447712871575,11.0,1,1038.5709770283024,0.5579452649940536,579.4657589931894,459.10521803511307
BUF,66.41176470588235,-3.3274452138349155,64.76470588235294,-1.6386738806766898,10.5,1,1039.0850226006667,0.5741970037414266,596.6395066098953,442.44551599077136
CAR,63.294117647058826,-5.314846015832526,62.94117647058823,-1.4473781887219306,7.0,0,1037.908731685409,0.5725275822471364,594.231376745039,443.67735494037
CHI,69.3529411764706,-3.281420127963368,68.3529411764706,-1.6243483346722187,9.5,0,1039.5604134373039,0.5729333320503815,595.5988115383067,443.9616018989971
CIN,66.94117647058823,2.058329863043932,68.17647058823529,8.942854187335408,10.25,0,1039.6915540869434,0.5929193028457741,616.45319142387,423.2383626630735
CLE,65.70588235294117,-3.157185365270747,71.3529411764706,0.8558601117054996,5.75,1,1038.1323340670715,0.5799015552218442,602.0145550515779,436.1177790154937
DAL,70.58823529411765,-0.18645425493544115,70.47058823529412,-1.7096250002711881,9.25,0,1039.7534529703094,0.5778969795981328,600.870379998271,438.88307297203835
DEN,67.70588235294117,2.0910697625315744,65.52941176470588,1.199992632668968,9.5,0,1039.2811989991774,0.5856889016888194,608.6954639876675,430.5857350115098
DET,65.52941176470588,-4.251478059969589,67.70588235294117,-3.283818095312093,10.5,0,1039.357393574841,0.5679045864772587,590.2558308002015,449.10156277463943
GB,62.294117647058826,-3.4983701739416744,65.52941176470588,-7.631486546020833,10.0,0,1038.674831149297,0.5646615901726182,586.4997818290377,452.1750493202593
HOU,68.58823529411765,-0.4350442066133965,66.47058823529412,0.9525045550881176,9.5,0,1039.4199769784304,0.5810638359793963,603.9693590167026,435.4506179617279
IND,63.8235294117647,-0.6658528141762368,64.88235294117646,-7.545717033583705,8.0,0,1038.260230914602,0.571903254120848,593.7844046843239,444.47582623027813
JAX,68.52941176470588,2.0082271495878854,62.11764705882353,-3.034602842258915,9.25,0,1039.029476988196,0.5820469637180559,604.7639522945391,434.2655246936569
KC,66.23529411764706,4.608455392952593,67.23529411764706,5.6331971109099355,10.5,0,1039.5795973059699,0.5932881180246892,616.7702228225231,422.8093744834468
LA,66.52941176470588,3.5395655762488487,64.47058823529412,-3.187834729101056,11.25,0,1039.502663118693,0.5814753973265313,604.4452240589294,435.0574390597635
LAC,68.47058823529412,0.6892418136199315,63.23529411764706,-0.9866904392049678,10.0,0,1039.3258718635782,0.5811395655854491,603.993385676518,435.3324861870602
LV,59.411764705882355,-1.6678097970829233,66.6470588235294,-0.4324413001780497,6.0,1,1037.2351059178095,0.5808372818800032,602.4648195918177,434.77028632599183
MIA,59.05882352941177,-5.212719695040931,68.29411764705883,-2.4412973789715493,4.0,1,1036.7012369534352,0.5739644587253352,595.0296643278639,441.67157262557134
MIN,60.05882352941177,-0.5610683376575221,66.47058823529412,4.717805882944932,8.5,0,1038.2968410358967,0.5845400744326597,606.9261127423184,431.3707282935783
NE,64.3529411764706,2.9433290277309014,65.82352941176471,-2.288469741836273,9.75,0,1038.9507222839698,0.5821549876848847,604.8303449364265,434.12037734754324
NO,67.47058823529412,-2.3126637795099496,65.0,-4.739222887446446,7.5,0,1038.5639318728365,0.5734979484872943,595.6142843019699,442.9496475708667
NYG,69.76470588235294,-4.077882862919344,67.70588235294117,-2.4774951183910137,7.5,1,1038.7754021588225,0.5746449021170799,596.9269892951869,441.8484128636357
NYJ,63.294117647058826,-8.242799328322443,64.52941176470588,2.922672729239405,5.5,0,1037.6568995413284,0.5736269839826668,595.2279976926972,442.42890184863114
PHI,63.35294117647059,-1.9520622596058126,68.70588235294117,-7.840988034662772,10.5,0,1039.110593454597,0.5658298041100575,587.9597435431001,451.1508499114968
PIT,61.1764705882353,-0.20670847199431067,67.47058823529412,-5.922310500967212,8.5,1,1038.0679797621106,0.5746743895721871,596.5510826042243,441.5168971578862
SEA,63.0,-6.099964164670725,66.3529411764706,2.136750037301128,10.5,0,1039.0959749132653,0.5709456945601482,593.2673731115086,445.8286018017567
SF,66.05882352941177,-0.4577631057669583,64.29411764705883,-2.1349366561364094,10.5,0,1039.2443007126271,0.5766610072298265,599.2916652068003,439.9526355058269
TB,67.94117647058823,-2.819325340958479,68.29411764705883,0.2173741274409824,8.5,0,1039.1640219040023,0.5765375526315276,599.1170819712687,440.04693993273366
TEN,63.1764705882353,-3.1650261105844897,66.3529411764706,-6.7961572775981525,6.5,1,1037.6456836295342,0.5713193278587168,592.8270345267241,444.81864910281007
WAS,63.1764705882353,-3.0976318725265184,68.82352941176471,0.35089256215683173,7.5,0,1038.4121386722338,0.5761387481635555,598.2694696524612,440.14266901977265
